DummyMostFrequent, 61.616, 0.000, 38.125, 46.982
Naive Bayes, 61.616, 0.000, 38.125, 46.982
KNN, 61.616, 0.000, 38.125, 46.982
Logistic Regression, 61.616, 0.000, 38.125, 46.982
Decision Tree, 61.616, 0.000, 38.125, 46.982
SVM, 55.556, 23.846, 46.234, 51.435
Random Forest, 61.616, 0.000, 38.125, 46.982
DummyMostFrequent, 61.616, 0.000, 38.125, 46.982
Naive Bayes, 61.616, 0.000, 38.125, 46.982
KNN, 63.973, 40.223, 57.220, 61.169
Logistic Regression, 61.616, 0.000, 38.125, 46.982
Decision Tree, 62.626, 41.062, 56.850, 60.518
SVM, 45.679, 52.174, 44.658, 42.912
Random Forest, 62.290, 41.053, 56.665, 60.292
DummyMostFrequent, 61.616, 0.000, 38.125, 46.982
DummyMostFrequent, 61.616, 0.000, 38.125, 46.982
DummyMostFrequent, 61.616, 0.000, 38.125, 46.982
Naive Bayes, 61.616, 0.000, 38.125, 46.982
KNN, 63.973, 40.223, 57.220, 61.169
Logistic Regression, 61.616, 0.000, 38.125, 46.982
Decision Tree, 62.626, 41.062, 56.850, 60.518
SVM, 45.679, 52.174, 44.658, 42.912
Random Forest, 62.290, 41.053, 56.665, 60.292
DummyMostFrequent, 61.616, 0.000, 38.125, 46.982
Naive Bayes, 61.616, 0.000, 38.125, 46.982
KNN, 63.973, 40.223, 57.220, 61.169
Logistic Regression, 61.616, 0.000, 38.125, 46.982
Decision Tree, 62.626, 41.062, 56.850, 60.518
SVM, 45.679, 52.174, 44.658, 42.912
Random Forest, 62.290, 41.053, 56.665, 60.292
DummyMostFrequent, 61.616, 0.000, 38.125, 46.982
Naive Bayes, 61.616, 0.000, 38.125, 46.982
KNN, 63.973, 40.223, 57.220, 61.169
Logistic Regression, 61.616, 0.000, 38.125, 46.982
Decision Tree, 62.626, 41.062, 56.850, 60.518
SVM, 45.679, 52.174, 44.658, 42.912
Random Forest, 62.290, 41.053, 56.665, 60.292
DummyMostFrequent, 61.616, 0.000, 38.125, 46.982
Naive Bayes, 61.616, 0.000, 38.125, 46.982
KNN, 63.973, 40.223, 57.220, 61.169
Logistic Regression, 61.616, 0.000, 38.125, 46.982
Decision Tree, 62.626, 41.062, 56.850, 60.518
SVM, 45.679, 52.174, 44.658, 42.912
